Lane,Sample.ID
22522_8#260,BKQT8S
22522_8#261,BHAGFD
22522_8#262,BKQTAY
22522_8#263,BKQTB3
22522_8#264,BKQTHU
22522_8#265,BKQTBX
22522_8#266,BKQT8S
22522_8#267,BHAGFD
22522_8#268,BKQTEE
22522_8#269,BKQTEC
22522_8#27,BKQK4E
22522_8#270,BKQTCC
22522_8#271,BKQU3X
22522_8#272,BKQTE9
22522_8#273,BHAGGZ
22522_8#274,BHAGKE
22522_8#275,BKQTFJ
22522_8#276,BHAGHP
22522_8#277,BKQTM6
22522_8#278,BKQVCF
22522_8#279,BKQVCA
22522_8#28,BHACGW
22522_8#280,BKQU74
22522_8#281,BHAGRF
22522_8#29,BHAC8C
22522_8#3,BKQK8E
22522_8#30,BHAC8H
22522_8#31,BKQKED
22522_8#32,BKQKZ7
22522_8#33,BKQKZB
22522_8#34,BKQKPB
22522_8#35,BHACIH
22522_8#36,BKQKZI
22522_8#37,BKQL04
22522_8#38,BHACAQ
22522_8#39,BKQKRT
22522_8#4,BKQKJQ
22522_8#40,BKQKSK
22522_8#41,BHACK9
22522_8#42,BKQKSA
22522_8#43,BKQKRS
22522_8#44,BHACBB
22522_8#45,BHACVB
22522_8#46,BHACVD
22522_8#47,BHACVF
22522_8#48,BKQL3T
22522_8#49,BHADEF
22522_8#5,BHAC6H
22522_8#50,BHADEM
22522_8#51,BKQKSM
22522_8#52,BHADFC
22522_8#53,BKQKW8
22522_8#54,BKQLFF
22522_8#55,BKQLEY
22522_8#56,BKQLG3
22522_8#57,BKQLG6
22522_8#58,BKQL5N
22522_8#59,BKQKYN
22522_8#6,BHACQ6
22522_8#60,BKQKXT
22522_8#61,BKQKY5
22522_8#62,BHADGF
22522_8#63,BHAD7S
22522_8#64,BKQLJQ
22522_8#65,BHACY5
22522_8#66,BHACYS
22522_8#67,BKQLJI
22522_8#68,BKQLU0
22522_8#69,BKQLK9
22522_8#7,BKQKAV
22522_8#70,BKQM3W
22522_8#71,BHAD8D
22522_8#72,BHADHE
22522_8#73,BKQM4S
22522_8#74,BKQLVR
22522_8#75,BKQLLU
22522_8#76,BKQLNC
22522_8#77,BKQLN6
22522_8#78,BKQLXU
22522_8#79,BKQLYV
22522_8#8,BKQK9W
22522_8#80,BKQLYW
22522_8#81,BHADIG
22522_8#82,BKQLPR
22522_8#83,BKQM0F
22522_8#84,BKQU19
22522_8#85,BKQMCE
22522_8#86,BKQMFQ
22522_8#87,BKQMCC
22522_8#88,BHADBD
22522_8#89,BKQMH6
22522_8#9,BKQK1D
22522_8#90,BKQMG9
22522_8#91,BKQMFV
22522_8#92,BKQMJR
22522_8#93,BKQMK4
22522_8#94,BKQMKT
22522_8#95,BKQMPG
22522_8#96,BKQMKY
22522_8#97,BKQNAJ
22522_8#98,BKQNDX
22522_8#99,BKQNEP
9475_6#1,1010996
9475_6#10,1013486
9475_6#12,1021106
9475_6#13,1021701
9475_6#14,1025691
9475_6#16,1031809
9475_6#17,1007914
9475_6#18,1013305
9475_6#19,1016889
9475_6#2,1014063
9475_6#20,1018216
9475_6#21,1023407
9475_6#24,1031785
9475_6#25,1007917
9475_6#26,1012911
9475_6#27,1016653
9475_6#28,1020791
9475_6#29,1022981
9475_6#3,1019695
9475_6#31,1022553
9475_6#32,1030630
9475_6#33,1014451
9475_6#34,1018211
9475_6#35,1016605
9475_6#36,1021854
9475_6#37,1022075
9475_6#39,1032927
9475_6#4,1019515
9475_6#41,1014383
9475_6#42,1017142
9475_6#43,1020184
9475_6#44,1023267
9475_6#45,1021624
9475_6#46,1024341
9475_6#47,1032463
9475_6#48,A53009
9475_6#49,1013803
9475_6#5,1021678
9475_6#50,1017137
9475_6#51,1019839
9475_6#52,1022401
9475_6#53,1020976
9475_6#54,1023999
9475_6#55,1032281
9475_6#56,A53789
9475_6#57,1012752
9475_6#58,1020366
9475_6#59,1019833
9475_6#6,1025912
9475_6#61,1029975
9475_6#62,1028143
9475_6#63,1032249
9475_6#64,D50739
9475_6#65,1012727
9475_6#66,1020059
9475_6#67,1019806
9475_6#68,1018617
9475_6#69,1029451
9475_6#71,1032168
9475_6#72,A55865
9475_6#73,1014152
9475_6#76,1021788
9475_6#77,1028963
9475_6#78,1026460
9475_6#79,1031581
9475_6#8,1030208
9475_6#80,A32420
9475_6#81,A33112
9475_6#85,A40201
9475_6#9,1008634
9475_6#90,D28995
9475_6#92,A39483
9475_6#93,A40566
9475_6#94,D41342
9953_5#22,A340
9953_5#4,PTA
9953_5#84,LNT375
CT18,CT18
Salmonella_enterica_subsp_enterica_serovar_Typhi_str_E98_3139_v1,E98-3139
Salmonella_enterica_subsp_enterica_serovar_Typhi_str_J185_v1,J185SM
